agency_name,agency_telephone,agency_email,agency_website,trusted_choice_url,street,locality,region,postal_code,founding_date,auto_insurance,home_insurance
Davies-Barry Ins.,(907) 826-2922,,http://www.davies-barry.com,https://www.trustedchoice.com/agency-profile/845784/davies-barry-ins/,PO Box 766,Craig,AK,99921-0766,,0,0
Mark Campos Agency,(719) 433-5012,,,https://www.trustedchoice.com/agency-profile/1351772/mark-campos-agency/,PO Box 1217,Canon City,CO,81215-1217,,0,0
Bouvier Insurance,(860) 887-1617,,http://www.binsurance.com,https://www.trustedchoice.com/agency-profile/103796/bouvier-insurance/,1020 Hartford Tpke,Waterford,CT,06385-4032,,0,0
"Wm. F. Malloy Agency, Inc.",(844) 567-1734,matthew@malloyins.com,http://www.malloyins.com,https://www.trustedchoice.com/agency-profile/104153/wm-f-malloy-agency-inc/,87 Glenbrook Rd,Stamford,CT,06902,1945,1,1
Insurance & Financial Services,(844) 682-3128,rmurray.insu154@insuremail.net,http://www.jrm-ifs.com,https://www.trustedchoice.com/agency-profile/104152/insurance-financial-services/,87 Glenbrook Rd,Stamford,CT,06902-2971,2005,0,0
Rand Insurance Inc.,(203) 637-1006,,http://www.randinsurance.com,https://www.trustedchoice.com/agency-profile/104125/rand-insurance-inc/,1100 E Putnam Ave,Riverside,CT,06878-1306,,1,1
Putnam Insurance Agency LLC,(203) 967-1550,jsparano@putnamagency.net,http://www.putnamagency.net,https://www.trustedchoice.com/agency-profile/158739/putnam-insurance-agency-llc/,1152 E Putnam Ave,Riverside,CT,06878-1424,1991,0,0
"Cross Insurance, Inc Connecticut",(203) 745-2566,,,https://www.trustedchoice.com/agency-profile/1415627/cross-insurance-inc-connecticut/,383 Main St,Ridgefield,CT,06877-4652,,0,0
"Fairfield County Bank Insurance Services, LLC",(203) 438-0404,mark.connelly@fcbins.com,http://www.fairfieldcountybankinsurance.com,https://www.trustedchoice.com/agency-profile/104122/fairfield-county-bank-insurance-services-llc/,401 Main St,Ridgefield,CT,06877-4513,1922,1,1
"J.A. Archambault & Son, Inc. dba Archambault Insurance Associates",(860) 928-0811,,http://www.archambaultins.com,https://www.trustedchoice.com/agency-profile/103768/j-a-archambault-son-inc-dba-archambault-insurance-associates/,143 Providence St,Putnam,CT,06260-1529,1928,1,1
"Gerardi Insurance Services, Inc.",(860) 928-7771,mdesaulnier@gerardiinsurance.com,http://www.gerardiinsurance.com,https://www.trustedchoice.com/agency-profile/103769/gerardi-insurance-services-inc/,16 Pomfret St,Putnam,CT,06260-1934,1917,1,1
Greenwich Independent Insurance,(844) 306-4973,ric@greenwichinsurance.com,http://www.greenwichinsurance.com,https://www.trustedchoice.com/agency-profile/104088/greenwich-independent-insurance/,87 Greenwich Ave Ste 1,Greenwich,CT,06830-5521,1891,0,0
Martin & Rowland Inc A Division of World Ins. Associates,(203) 756-3676,,http://www.m-rowlandinsurance.com,https://www.trustedchoice.com/agency-profile/104019/martin-rowland-inc-a-division-of-world-ins-associates/,16 Waterbury Rd Bldg 269,Prospect,CT,06712-1255,,1,1
Associated Ins Services Inc.,(860) 793-9601,,http://www.associatedct.com,https://www.trustedchoice.com/agency-profile/160524/associated-ins-services-inc/,106 W Main St,Plainville,CT,06062-1979,,1,0
"The Quintal Agency, Inc.",(860) 564-3315,,http://www.quintalagency.com,https://www.trustedchoice.com/agency-profile/103778/the-quintal-agency-inc/,127 Norwich Road,Central Village,CT,06332,,0,0
"Gerardi Insurance Services, Inc.",(860) 564-2787,,,https://www.trustedchoice.com/agency-profile/103802/gerardi-insurance-services-inc/,473 Norwich Rd,Plainfield,CT,06374,,0,0
"First Casualty Insurance Agency, Inc.",(844) 716-2903,wgilmore@fcigglobal.com,http://www.fcigglobal.com,https://www.trustedchoice.com/agency-profile/1401652/first-casualty-insurance-agency-inc/,94 Norwich Rd,Plainfield,CT,06374-1619,2008,1,1
